SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER
KALYANKJIL,Kalyan Jewellers India Limited,EQ,26-MAR-2021,INE303R01014
KAMATHOTEL,Kamat Hotels (I) Limited,EQ,29-MAY-1996,INE967C01018
KAMDHENU,Kamdhenu Limited,EQ,09-MAY-2006,INE390H01020
KAMOPAINTS,Kamdhenu Ventures Limited,EQ,24-JAN-2023,INE0BTI01037
KANANIIND,Kanani Industries Limited,EQ,14-DEC-2011,INE879E01037
KANORICHEM,Kanoria Chemicals & Industries Limited,EQ,08-FEB-1995,INE138C01024
KANPRPLA,Kanpur Plastipack Limited,EQ,01-JAN-2021,INE694E01014
KANSAINER,Kansai Nerolac Paints Limited,EQ,15-SEP-2003,INE531A01024
KAPSTON,Kapston Services Limited,BE,27-MAY-2020,INE542Z01028
KARMAENG,Karma Energy Limited,EQ,28-JUN-2011,INE725L01011
KARURVYSYA,Karur Vysya Bank Limited,EQ,26-JUL-2000,INE036D01028
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,EQ,14-DEC-2007,INE234I01028
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,EQ,29-JAN-2008,INE641C01019
KAYA,Kaya Limited,EQ,14-AUG-2015,INE587G01015
KAYNES,Kaynes Technology India Limited,EQ,22-NOV-2022,INE918Z01012
KCP,KCP Limited,EQ,09-APR-1997,INE805C01028
KCPSUGIND,KCP Sugar and Industries Corporation Limited,EQ,11-JUN-1997,INE790B01024
KDDL,KDDL Limited,EQ,23-MAR-2016,INE291D01011
KEC,KEC International Limited,EQ,10-MAR-2006,INE389H01022
KECL,Kirloskar Electric Company Limited,EQ,09-MAR-2010,INE134B01017
KEEPLEARN,DSJ Keep Learning Limited,EQ,01-MAR-1995,INE055C01020
KEI,KEI Industries Limited,EQ,23-MAR-2006,INE878B01027
KELLTONTEC,Kellton Tech Solutions Limited,EQ,02-MAR-2016,INE164B01030
KERNEX,Kernex Microsystems (India) Limited,EQ,20-DEC-2005,INE202H01019
KESORAMIND,Kesoram Industries Limited,BE,06-SEP-1995,INE087A01019
KEYFINSERV,Keynote Financial Services Limited,EQ,26-JUN-1996,INE681C01015
KFINTECH,Kfin Technologies Limited,EQ,29-DEC-2022,INE138Y01010
KHADIM,Khadim India Limited,EQ,14-NOV-2017,INE834I01025
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,EQ,30-OCT-2020,INE745B01028
KHAITANLTD,Khaitan (India) Limited,EQ,20-DEC-1995,INE731C01018
KHANDSE,Khandwala Securities Limited,EQ,07-FEB-2001,INE060B01014
KICL,Kalyani Investment Company Limited,EQ,14-JAN-2011,INE029L01018
KILITCH,Kilitch Drugs (India) Limited,EQ,29-SEP-2010,INE729D01010
KIMS,Krishna Institute of Medical Sciences Limited,EQ,28-JUN-2021,INE967H01025
KINGFA,Kingfa Science & Technology (India) Limited,EQ,15-NOV-2016,INE473D01015
KIOCL,KIOCL Limited,EQ,29-NOV-2016,INE880L01014
KIRIINDUS,Kiri Industries Limited,EQ,22-APR-2008,INE415I01015
KIRLOSBROS,Kirloskar Brothers Limited,EQ,20-APR-2010,INE732A01036
KIRLOSENG,Kirloskar Oil Engines Limited,EQ,24-DEC-2010,INE146L01010
KIRLOSIND,Kirloskar Industries Limited,EQ,24-JUN-2010,INE250A01039
KIRLPNU,Kirloskar Pneumatic Company Limited,EQ,26-APR-2023,INE811A01020
KITEX,Kitex Garments Limited,EQ,25-SEP-2012,INE602G01020
KKCL,Kewal Kiran Clothing Limited,EQ,13-APR-2006,INE401H01017
KMEW,Knowledge Marine & Engineering Works Limited,EQ,14-NOV-2024,INE0CJD01029
KMSUGAR,K.M.Sugar Mills Limited,EQ,31-MAY-2007,INE157H01023
KNAGRI,KN Agri Resources Limited,EQ,09-DEC-2025,INE0KNW01016
KNRCON,KNR Constructions Limited,EQ,18-FEB-2008,INE634I01029
KOHINOOR,Kohinoor Foods Limited,EQ,20-OCT-1999,INE080B01012
KOKUYOCMLN,Kokuyo Camlin Limited,EQ,28-JUL-2008,INE760A01029
KOLTEPATIL,Kolte - Patil Developers Limited,EQ,13-DEC-2007,INE094I01018
KOPRAN,Kopran Limited,EQ,09-JUN-1999,INE082A01010
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-DEC-1995,INE237A01036
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ,13-DEC-2004,INE419A01022
KOTHARIPET,Kothari Petrochemicals Limited,EQ,02-NOV-1996,INE720A01015
KOTHARIPRO,Kothari Products Limited,EQ,03-JUN-1998,INE823A01017
KPEL,K.P. Energy Limited,EQ,14-NOV-2024,INE127T01021
KPIGREEN,KPI Green Energy Limited,EQ,27-JUL-2021,INE542W01025
KPIL,Kalpataru Projects International Limited,EQ,15-DEC-2000,INE220B01022
KPITTECH,KPIT Technologies Limited,EQ,22-APR-2019,INE04I401011
KPRMILL,K.P.R. Mill Limited,EQ,28-AUG-2007,INE930H01031
KRBL,KRBL Limited,EQ,21-JAN-2002,INE001B01026
KREBSBIO,Krebs Biochemicals and Industries Limited,EQ,03-JAN-1996,INE268B01013
KRIDHANINF,Kridhan Infra Limited,EQ,11-DEC-2015,INE524L01026
KRISHANA,Krishana Phoschem Limited,EQ,22-AUG-2019,INE506W01012
KRISHIVAL,Krishival Foods Limited,EQ,20-JUN-2025,INE0GGO01015
KRISHNADEF,Krishna Defence And Allied Industries Limited,EQ,30-DEC-2025,INE0J5601015
KRITI,Kriti Industries (India) Limited,EQ,01-NOV-2021,INE479D01038
KRITIKA,Kritika Wires Limited,EQ,04-MAY-2022,INE00Z501029
KRITINUT,Kriti Nutrients Limited,EQ,07-OCT-2022,INE798K01010
KRN,KRN Heat Exchanger and Refrigeration Limited,EQ,03-OCT-2024,INE0Q3J01015
KRONOX,Kronox Lab Sciences Limited,EQ,10-JUN-2024,INE0ATZ01017
KROSS,Kross Limited,EQ,16-SEP-2024,INE0O6601022
KRSNAA,Krsnaa Diagnostics Limited,EQ,16-AUG-2021,INE08LI01020
KRYSTAL,Krystal Integrated Services Limited,EQ,21-MAR-2024,INE0QN801017
KSB,Ksb Limited,EQ,08-FEB-1995,INE999A01023
KSCL,Kaveri Seed Company Limited,EQ,04-OCT-2007,INE455I01029
KSHINTL,KSH International Limited,EQ,23-DEC-2025,INE987S01020
KSHITIJPOL,Kshitij Polyline Limited,EQ,27-JUL-2022,INE013801027
KSL,Kalyani Steels Limited,EQ,19-MAY-2010,INE907A01026
KSOLVES,Ksolves India Limited,EQ,23-SEP-2022,INE0D6I01023
KSR,KSR Footwear Limited,BE,27-NOV-2025,INE1SPP01016
KTKBANK,The Karnataka Bank Limited,EQ,10-MAY-2000,INE614B01018
KUANTUM,Kuantum Papers Limited,EQ,23-OCT-2019,INE529I01021
LAGNAM,Lagnam Spintex Limited,EQ,30-SEP-2021,INE548Z01017
LAKPRE,Lakshmi Precision Screws Limited,BZ,26-SEP-2006,INE651C01018
LAL,Lorenzini Apparels Limited,EQ,10-APR-2023,INE740X01023
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,23-DEC-2015,INE600L01024
LAMBODHARA,Lambodhara Textiles Limited,EQ,04-FEB-2015,INE112F01022
LANCORHOL,Lancor Holdings Limited,BE,12-MAR-2024,INE572G01025
LANDMARK,Landmark Cars Limited,EQ,23-DEC-2022,INE559R01029
LAOPALA,La Opala RG Limited,EQ,16-MAR-2007,INE059D01020
LASA,Lasa Supergenerics Limited,EQ,21-SEP-2017,INE670X01014
LATENTVIEW,Latent View Analytics Limited,EQ,23-NOV-2021,INE0I7C01011
LATTEYS,Latteys Industries Limited,EQ,23-MAY-2023,INE262Z01023
LAURUSLABS,Laurus Labs Limited,EQ,19-DEC-2016,INE947Q01028
LAXMICOT,Laxmi Cotspin Limited,EQ,12-NOV-2021,INE801V01019
LAXMIDENTL,Laxmi Dental Limited,EQ,20-JAN-2025,INE0WO601020
LAXMIINDIA,Laxmi India Finance Limited,EQ,05-AUG-2025,INE06WU01026
LCCINFOTEC,LCC Infotech Limited,BE,02-MAR-2000,INE938A01021
LEMERITE,Le Merite Exports Limited,EQ,12-DEC-2025,INE0G1L01017
LEMONTREE,Lemon Tree Hotels Limited,EQ,09-APR-2018,INE970X01018
LENSKART,Lenskart Solutions Limited,EQ,10-NOV-2025,INE956O01016
LEXUS,Lexus Granito (India) Limited,EQ,13-MAR-2023,INE500X01013
LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ,15-APR-2015,INE850E01012
LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ,30-MAR-2010,INE337A01034
LGEINDIA,LG Electronics India Limited,EQ,14-OCT-2025,INE324D01010
LGHL,Laxmi Goldorna House Limited,EQ,10-NOV-2023,INE258Y01016
LIBAS,Libas Consumer Products Limited,EQ,23-JUL-2019,INE908V01012
LIBERTSHOE,Liberty Shoes Limited,EQ,27-SEP-1995,INE557B01019
LICHSGFIN,LIC Housing Finance Limited,EQ,29-JUL-1998,INE115A01026
LICI,Life Insurance Corporation Of India,EQ,17-MAY-2022,INE0J1Y01017
LIKHITHA,Likhitha Infrastructure Limited,EQ,15-OCT-2020,INE060901027
LINC,Linc Limited,EQ,09-MAR-2015,INE802B01027
LINCOLN,Lincoln Pharmaceuticals Limited,EQ,17-DEC-2015,INE405C01035
LINDEINDIA,Linde India Limited,EQ,16-JUN-1999,INE473A01011
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,EQ,18-JUL-2016,INE093R01011
LLOYDSENT,Lloyds Enterprises Limited,EQ,17-OCT-2024,INE080I01025
LLOYDSME,Lloyds Metals And Energy Limited,EQ,17-JUL-2023,INE281B01032
LMW,LMW Limited,EQ,29-MAR-1995,INE269B01029
LODHA,Lodha Developers Limited,EQ,19-APR-2021,INE670K01029
LOKESHMACH,Lokesh Machines Limited,EQ,05-MAY-2006,INE397H01017
LORDSCHLO,Lords Chloro Alkali Limited,EQ,28-AUG-2023,INE846D01012
LOTUSDEV,Sri Lotus Developers and Realty Limited,EQ,06-AUG-2025,INE0V9Q01010
LOTUSEYE,Lotus Eye Hospital and Institute Limited,EQ,11-JUL-2008,INE947I01017
LOVABLE,Lovable Lingerie Limited,EQ,24-MAR-2011,INE597L01014
LOYALTEX,Loyal Textile Mills Limited,BE,11-AUG-2022,INE970D01010
LPDC,Landmark Property Development Company Limited,EQ,12-AUG-2008,INE197J01017
LT,Larsen & Toubro Limited,EQ,23-JUN-2004,INE018A01030
LTF,L&T Finance Limited,EQ,12-AUG-2011,INE498L01015
LTFOODS,LT Foods Limited,EQ,18-DEC-2006,INE818H01020
LTIM,LTIMindtree Limited,EQ,21-JUL-2016,INE214T01019
LTTS,L&T Technology Services Limited,EQ,23-SEP-2016,INE010V01017
LUMAXIND,Lumax Industries Limited,EQ,06-SEP-1995,INE162B01018
LUMAXTECH,Lumax Auto Technologies Limited,EQ,16-JAN-2007,INE872H01027
LUPIN,Lupin Limited,EQ,10-SEP-2001,INE326A01037
LUXIND,Lux Industries Limited,EQ,30-NOV-2015,INE150G01020
LXCHEM,Laxmi Organic Industries Limited,EQ,25-MAR-2021,INE576O01020
LYKALABS,Lyka Labs Limited,EQ,08-FEB-1995,INE933A01014
LYPSAGEMS,Lypsa Gems & Jewellery Limited,EQ,05-NOV-2013,INE142K01011
M&M,Mahindra & Mahindra Limited,EQ,03-JAN-1996,INE101A01026
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,17-MAR-2006,INE774D01024
MAANALU,Maan Aluminium Limited,BE,22-OCT-2007,INE215I01027
MACPOWER,Macpower CNC Machines Limited,EQ,19-AUG-2020,INE155Z01011
MADHAV,Madhav Marbles and Granites Limited,EQ,20-DEC-2007,INE925C01016
MADHUCON,Madhucon Projects Limited,EQ,05-OCT-2006,INE378D01032
MADRASFERT,Madras Fertilizers Limited,EQ,25-JUL-1997,INE414A01015
MAGADSUGAR,Magadh Sugar & Energy Limited,EQ,28-JUL-2017,INE347W01011
MAGNUM,Magnum Ventures Limited,EQ,20-SEP-2007,INE387I01016
MAHABANK,Bank of Maharashtra,EQ,12-APR-2004,INE457A01014
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,EQ,21-JAN-1998,INE843B01013
MAHASTEEL,Mahamaya Steel Industries Limited,BE,01-JUL-2016,INE451L01014
MAHEPC,Mahindra EPC Irrigation Limited,EQ,14-FEB-2020,INE215D01010
MAHESHWARI,Maheshwari Logistics Limited,EQ,15-APR-2019,INE263W01010
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,10-MAY-2000,INE813A01018
MAHLOG,Mahindra Logistics Limited,EQ,10-NOV-2017,INE766P01016
MAHSCOOTER,Maharashtra Scooters Limited,EQ,08-FEB-1995,INE288A01013
MAHSEAMLES,Maharashtra Seamless Limited,EQ,25-AUG-2004,INE271B01025
MAITHANALL,Maithan Alloys Limited,EQ,05-JUL-2011,INE683C01011
MALLCOM,Mallcom (India) Limited,EQ,02-FEB-2022,INE389C01015
MALUPAPER,Malu Paper Mills Limited,EQ,05-APR-2006,INE383H01017
MAMATA,Mamata Machinery Limited,EQ,27-DEC-2024,INE0TO701015
MANAKALUCO,Manaksia Aluminium Company Limited,BE,30-MAR-2015,INE859Q01017
MANAKCOAT,Manaksia Coated Metals & Industries Limited,EQ,30-MAR-2015,INE830Q01018
MANAKSIA,Manaksia Limited,EQ,08-JAN-2008,INE015D01022
MANAKSTEEL,Manaksia Steels Limited,EQ,30-MAR-2015,INE824Q01011
MANALIPETC,Manali Petrochemicals Limited,EQ,06-DEC-2006,INE201A01024
MANAPPURAM,Manappuram Finance Limited,EQ,01-DEC-2014,INE522D01027
MANBA,Manba Finance Limited,EQ,30-SEP-2024,INE939X01013
MANCREDIT,Mangal Credit and Fincorp Limited,EQ,16-AUG-2024,INE545L01039
MANGALAM,Mangalam Drugs And Organics Limited,BE,23-MAY-2005,INE584F01014
MANGLMCEM,Mangalam Cement Limited,EQ,03-JAN-1996,INE347A01017
MANINDS,Man Industries (India) Limited,EQ,24-JUN-2005,INE993A01026
MANINFRA,Man Infraconstruction Limited,EQ,11-MAR-2010,INE949H01023
MANKIND,Mankind Pharma Limited,EQ,09-MAY-2023,INE634S01028
MANOMAY,Manomay Tex India Limited,BE,18-JAN-2023,INE784W01015
MANORAMA,Manorama Industries Limited,EQ,01-JUL-2022,INE00VM01036
MANORG,Mangalam Organics Limited,EQ,02-NOV-2021,INE370D01013
MANUGRAPH,Manugraph India Limited,EQ,14-SEP-2006,INE867A01022
MANYAVAR,Vedant Fashions Limited,EQ,16-FEB-2022,INE825V01034
MAPMYINDIA,C.E. Info Systems Limited,EQ,21-DEC-2021,INE0BV301023
MARALOVER,Maral Overseas Limited,EQ,08-FEB-1995,INE882A01013
MARATHON,Marathon Nextgen Realty Limited,EQ,29-SEP-2016,INE182D01020
MARICO,Marico Limited,EQ,01-MAY-1996,INE196A01026
MARINE,Marine Electricals (India) Limited,EQ,02-DEC-2020,INE01JE01028
MARKOLINES,Markolines Pavement Technologies Limited,EQ,14-OCT-2025,INE0FW001016
MARKSANS,Marksans Pharma Limited,EQ,21-JAN-2002,INE750C01026
MARUTI,Maruti Suzuki India Limited,EQ,09-JUL-2003,INE585B01010
MASFIN,MAS Financial Services Limited,EQ,18-OCT-2017,INE348L01012
MASKINVEST,Mask Investments Limited,EQ,14-OCT-2016,INE885F01015
MASTEK,Mastek Limited,EQ,10-MAY-1995,INE759A01021
MASTERTR,Master Trust Limited,EQ,12-NOV-2024,INE677D01037
MATRIMONY,Matrimony.Com Limited,EQ,21-SEP-2017,INE866R01028
MAWANASUG,Mawana Sugars Limited,EQ,20-MAR-2009,INE636A01039
MAXESTATES,Max Estates Limited,EQ,30-OCT-2023,INE03EI01018
MAXHEALTH,Max Healthcare Institute Limited,EQ,21-AUG-2020,INE027H01010
MAXIND,Max India Limited,EQ,28-AUG-2020,INE0CG601016
MAYURUNIQ,Mayur Uniquoters Ltd,EQ,25-SEP-2012,INE040D01038
MAZDA,Mazda Limited,EQ,01-NOV-2016,INE885E01042
MAZDOCK,Mazagon Dock Shipbuilders Limited,EQ,12-OCT-2020,INE249Z01020
MBAPL,Madhya Bharat Agro Products Limited,EQ,22-AUG-2019,INE900L01010
MBEL,M & B Engineering Limited,EQ,06-AUG-2025,INE08N601015
MBLINFRA,MBL Infrastructure Limited,EQ,11-JAN-2010,INE912H01013
MCL,Madhav Copper Limited,BE,19-AUG-2020,INE813V01022
MCLEODRUSS,Mcleod Russel India Limited,EQ,29-JUL-2005,INE942G01012
MCLOUD,Magellanic Cloud Limited,EQ,07-FEB-2025,INE613C01026
MCX,Multi Commodity Exchange of India Limited,EQ,09-MAR-2012,INE745G01043
MEDANTA,Global Health Limited,EQ,16-NOV-2022,INE474Q01031
MEDIASSIST,Medi Assist Healthcare Services Limited,EQ,23-JAN-2024,INE456Z01021
MEDICAMEQ,Medicamen Biotech Limited,EQ,27-OCT-2021,INE646B01010
MEDICO,Medico Remedies Limited,EQ,26-MAY-2022,INE630Y01024
MEDPLUS,Medplus Health Services Limited,EQ,23-DEC-2021,INE804L01022
MEESHO,Meesho Limited,EQ,10-DEC-2025,INE0VDM01015
MEGASTAR,Megastar Foods Limited,BE,16-FEB-2022,INE00EM01016
MEIL,Mangal Electrical Industries Limited,EQ,28-AUG-2025,INE0PKD01011
MENONBE,Menon Bearings Limited,EQ,09-MAR-2015,INE071D01033
MEP,MEP Infrastructure Developers Limited,BZ,06-MAY-2015,INE776I01010
METROBRAND,Metro Brands Limited,EQ,22-DEC-2021,INE317I01021
METROPOLIS,Metropolis Healthcare Limited,EQ,15-APR-2019,INE112L01020
MFML,Mahalaxmi Fabric Mills Limited,EQ,27-AUG-2024,INE0US801024
MFSL,Max Financial Services Limited,EQ,17-MAY-2000,INE180A01020
MGEL,Mangalam Global Enterprise Limited,EQ,23-DEC-2020,INE0APB01032
MGL,Mahanagar Gas Limited,EQ,01-JUL-2016,INE002S01010
MHLXMIRU,Mahalaxmi Rubtech Limited,EQ,27-JAN-2022,INE112D01035
MHRIL,Mahindra Holidays & Resorts India Limited,EQ,16-JUL-2009,INE998I01010
MICEL,MIC Electronics Limited,EQ,17-DEC-2021,INE287C01037
MIDHANI,Mishra Dhatu Nigam Limited,EQ,04-APR-2018,INE099Z01011
MIDWESTLTD,Midwest Limited,EQ,24-OCT-2025,INE0XAD01024
MINDACORP,Minda Corporation Limited,EQ,16-OCT-2014,INE842C01021
MINDTECK,Mindteck (India) Limited,EQ,02-AUG-2016,INE110B01017
MIRCELECTR,MIRC Electronics Limited,EQ,24-MAY-2004,INE831A01028
MIRZAINT,Mirza International Limited,EQ,28-APR-1999,INE771A01026
MITCON,MITCON Consultancy & Engineering Services Limited,EQ,17-MAR-2022,INE828O01033
MITTAL,Mittal Life Style Limited,EQ,29-APR-2020,INE997Y01027
MKPL,M K Proteins Limited,EQ,13-JUN-2023,INE964W01021
MMFL,MM Forgings Limited,EQ,20-DEC-2006,INE227C01017
MMP,MMP Industries Limited,EQ,09-JAN-2020,INE511Y01018
MMTC,MMTC Limited,EQ,09-APR-2012,INE123F01029
MOBIKWIK,One Mobikwik Systems Limited,EQ,18-DEC-2024,INE0HLU01028
MODINATUR,Modi Naturals Limited,EQ,11-DEC-2025,INE537F01012
MODIRUBBER,Modi Rubber Limited,EQ,07-FEB-1996,INE832A01018
MODIS,Modis Navnirman Limited,EQ,14-NOV-2025,INE0L0L01012
MODISONLTD,MODISON LIMITED,EQ,03-MAY-2021,INE737D01021
MODTHREAD,Modern Threads (India) Limited,EQ,22-NOV-1995,INE794W01014
MOHITIND,Mohit Industries Limited,EQ,14-MAR-2013,INE954E01012
MOIL,MOIL Limited,EQ,15-DEC-2010,INE490G01020
MOKSH,Moksh Ornaments Limited,EQ,21-MAY-2021,INE514Y01020
MOL,Meghmani Organics Limited,EQ,18-AUG-2021,INE0CT101020
MOLDTECH,Mold-Tek Technologies Limited,EQ,07-JUL-2016,INE835B01035
MOLDTKPAC,Mold-Tek Packaging Limited,EQ,23-FEB-2015,INE893J01029
MONARCH,Monarch Networth Capital Limited,EQ,06-JAN-2022,INE903D01011
MONEYBOXX,Moneyboxx Finance Limited,EQ,15-OCT-2025,INE296Q01012
MONTECARLO,Monte Carlo Fashions Limited,EQ,19-DEC-2014,INE950M01013
MORARJEE,Morarjee Textiles Limited,BZ,14-SEP-2012,INE161G01027
MOREPENLAB,Morepen Laboratories Limited,EQ,24-NOV-1999,INE083A01026
MOSCHIP,Moschip Technologies Limited,EQ,05-FEB-2025,INE935B01025
MOTHERSON,Samvardhana Motherson International Limited,EQ,14-AUG-1996,INE775A01035
MOTILALOFS,Motilal Oswal Financial Services Limited,EQ,11-SEP-2007,INE338I01027
MOTISONS,Motisons Jewellers Limited,EQ,26-DEC-2023,INE0FRK01020
MOTOGENFIN,The Motor & General Finance Limited,EQ,08-FEB-1995,INE861B01023
MPHASIS,MphasiS Limited,EQ,04-JUN-2004,INE356A01018
MPSLTD,MPS Limited,EQ,21-JAN-2002,INE943D01017
MRF,MRF Limited,EQ,18-SEP-1996,INE883A01011
MRPL,Mangalore Refinery and Petrochemicals Limited,EQ,07-JAN-2005,INE103A01014
MSPL,MSP Steel & Power Limited,EQ,18-JUL-2005,INE752G01015
MSTCLTD,Mstc Limited,EQ,29-MAR-2019,INE255X01014
MSUMI,Motherson Sumi Wiring India Limited,EQ,28-MAR-2022,INE0FS801015
MTARTECH,Mtar Technologies Limited,EQ,15-MAR-2021,INE864I01014
MTEDUCARE,MT Educare Limited,BE,12-APR-2012,INE472M01018
MTNL,Mahanagar Telephone Nigam Limited,EQ,17-FEB-1999,INE153A01019
MUFIN,Mufin Green Finance Limited,EQ,06-NOV-2023,INE08KJ01020
MUFTI,Credo Brands Marketing Limited,EQ,27-DEC-2023,INE220Q01020
MUKANDLTD,Mukand Limited,EQ,23-FEB-2004,INE304A01026
MUKKA,Mukka Proteins Limited,EQ,07-MAR-2024,INE0CG401037
MUKTAARTS,Mukta Arts Limited,EQ,12-SEP-2000,INE374B01019
MUNJALAU,Munjal Auto Industries Limited,EQ,19-JUL-2006,INE672B01032
MUNJALSHOW,Munjal Showa Limited,EQ,12-MAY-2003,INE577A01027
MURUDCERA,Murudeshwar Ceramics Limited,EQ,28-MAY-2004,INE692B01014
MUTHOOTCAP,Muthoot Capital Services Limited,EQ,24-AUG-2015,INE296G01013
MUTHOOTFIN,Muthoot Finance Limited,EQ,06-MAY-2011,INE414G01012
MUTHOOTMF,Muthoot Microfin Limited,EQ,26-DEC-2023,INE046W01019
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,EQ,03-OCT-2023,INE0KNT01012
MWL,Mangalam Worldwide Limited,EQ,18-SEP-2025,INE0JYY01011
NACLIND,NACL Industries Limited,EQ,07-APR-2017,INE295D01020
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,EQ,15-JUN-2016,INE454M01024
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,EQ,18-SEP-2007,INE245I01016
NAGREEKEXP,Nagreeka Exports Limited,EQ,18-JUN-2007,INE123B01028
NAHARCAP,Nahar Capital and Financial Services Limited,EQ,11-MAR-2008,INE049I01012
NAHARINDUS,Nahar Industrial Enterprises Limited,EQ,15-DEC-2005,INE289A01011
NAHARPOLY,Nahar Poly Films Limited,EQ,23-MAR-2007,INE308A01027
NAHARSPING,Nahar Spinning Mills Limited,EQ,23-MAR-2007,INE290A01027
NAM-INDIA,Nippon Life India Asset Management Limited,EQ,06-NOV-2017,INE298J01013
NARMADA,Narmada Agrobase Limited,EQ,27-OCT-2022,INE117Z01011
NATCAPSUQ,Natural Capsules Limited,EQ,14-FEB-2025,INE936B01015
NATCOPHARM,Natco Pharma Limited,EQ,27-DEC-1995,INE987B01026
NATHBIOGEN,Nath Bio-Genes (India) Limited,EQ,28-JAN-2014,INE448G01010
NATIONALUM,National Aluminium Company Limited,EQ,28-APR-1999,INE139A01034
NAUKRI,Info Edge (India) Limited,EQ,21-NOV-2006,INE663F01032
NAVA,NAVA LIMITED,EQ,03-APR-1996,INE725A01030
NAVINFLUOR,Navin Fluorine International Limited,EQ,01-JUN-2007,INE048G01026
NAVKARCORP,Navkar Corporation Limited,EQ,09-SEP-2015,INE278M01019
NAVKARURB,Navkar Urbanstructure Limited,BE,17-JAN-2025,INE268H01044
NAVNETEDUL,Navneet Education Limited,EQ,08-FEB-1995,INE060A01024
NAZARA,Nazara Technologies Limited,EQ,30-MAR-2021,INE418L01047
NBCC,NBCC (India) Limited,EQ,12-APR-2012,INE095N01031
NBIFIN,N. B. I. Industrial Finance Company Limited,EQ,23-NOV-2016,INE365I01020
NCC,NCC Limited,EQ,14-OCT-2003,INE868B01028
NCLIND,NCL Industries Limited,EQ,03-APR-2007,INE732C01016
NDGL,Naga Dhunseri Group Limited,EQ,29-AUG-2016,INE756C01015
NDL,Nandan Denim Limited,EQ,23-MAR-2012,INE875G01048
NDLVENTURE,NDL Ventures Limited,EQ,24-APR-2007,INE353A01023
NDRAUTO,Ndr Auto Components Limited,EQ,30-JUL-2020,INE07OG01012
NDTV,New Delhi Television Limited,EQ,19-MAY-2004,INE155G01029
NECCLTD,North Eastern Carrying Corporation Limited,EQ,02-MAR-2016,INE553C01016
NECLIFE,Nectar Lifesciences Limited,BE,18-JUL-2005,INE023H01027
NELCAST,Nelcast Limited,EQ,27-JUN-2007,INE189I01024
NELCO,NELCO Limited,EQ,28-MAY-2003,INE045B01015
NEOGEN,Neogen Chemicals Limited,EQ,08-MAY-2019,INE136S01016
NEPHROPLUS,Nephrocare Health Services Limited,EQ,17-DEC-2025,INE428V01029
NESCO,Nesco Limited,EQ,08-APR-2008,INE317F01035
NESTLEIND,Nestle India Limited,EQ,01-AUG-2023,INE239A01024
NETWEB,Netweb Technologies India Limited,EQ,27-JUL-2023,INE0NT901020
NETWORK18,Network18 Media & Investments Limited,EQ,02-FEB-2007,INE870H01013
NEULANDLAB,Neuland Laboratories Limited,EQ,13-OCT-2008,INE794A01010
NEWGEN,Newgen Software Technologies Limited,EQ,29-JAN-2018,INE619B01017
NEXTMEDIA,Next Mediaworks Limited,EQ,04-APR-2001,INE747B01016
NFL,National Fertilizers Limited,EQ,28-DEC-2006,INE870D01012
NGIL,Nakoda Group of Industries Limited,EQ,20-AUG-2021,INE236Y01012
NGLFINE,NGL Fine-Chem Limited,EQ,08-JUL-2022,INE887E01022
NH,Narayana Hrudayalaya Ltd.,EQ,06-JAN-2016,INE410P01011
NHPC,NHPC Limited,EQ,01-SEP-2009,INE848E01016
NIACL,The New India Assurance Company Limited,EQ,13-NOV-2017,INE470Y01017
NIBE,NIBE Limited,EQ,07-FEB-2025,INE149O01018
NIBL,NRB Industrial Bearings Limited,EQ,09-APR-2013,INE047O01014
NIITLTD,NIIT Limited,EQ,16-AUG-2004,INE161A01038
NIITMTS,NIIT Learning Systems Limited,EQ,08-AUG-2023,INE342G01023
NILAINFRA,Nila Infrastructures Limited,EQ,21-MAY-2015,INE937C01029
NILASPACES,Nila Spaces Limited,EQ,28-DEC-2018,INE00S901012
NILKAMAL,Nilkamal Limited,EQ,01-NOV-1995,INE310A01015
NINSYS,NINtec Systems Limited,EQ,21-FEB-2023,INE395U01014
NIPPOBATRY,Indo-National Limited,EQ,06-OCT-1999,INE567A01028
NIRAJ,Niraj Cement Structurals Limited,EQ,01-OCT-2020,INE368I01016
NIRAJISPAT,Niraj Ispat Industries Limited,BE,27-OCT-2016,INE326T01011
NITCO,Nitco Limited,EQ,21-MAR-2006,INE858F01012
NITINSPIN,Nitin Spinners Limited,EQ,02-FEB-2006,INE229H01012
NITIRAJ,Nitiraj Engineers Limited,EQ,22-APR-2021,INE439T01012
